City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Butaritari,KI,80.85,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
8,Rikitea,PF,77.61,clear sky,-23.1203,-134.9692,People ThankYou
9,Samarai,PG,84.11,few clouds,-10.6167,150.6667,Nuli Sapi
12,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
15,Hasaki,JP,70.29,heavy intensity rain,35.7333,140.8333,Inubosaki Kanko Hotel
16,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Guymon,US,84.2,clear sky,36.6828,-101.4816,Simple Rewards
21,Baglung,NP,71.74,scattered clouds,28.2719,83.5898,Hotel Peace Palace
25,Diamantino,BR,74.71,clear sky,-14.4086,-56.4461,Hotel Delta
26,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Flinders,AU,75.38,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
33,Lompoc,US,83.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
35,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
36,Mayo,US,70.68,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
39,Labuhan,ID,82.36,overcast clouds,-6.8844,112.2051,DoubleFAG
41,Victoria,HK,77.38,scattered clouds,22.2855,114.1577,Mini Central
43,Atuona,PF,78.84,few clouds,-9.8,-139.0333,Villa Enata
46,Sawtell,AU,75.22,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
52,Half Moon Bay,US,77.02,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
53,Arraial Do Cabo,BR,72.77,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Kantunilkin,MX,75.99,scattered clouds,21.0917,-87.45,Posada Paraiso
64,Una,IN,81.23,clear sky,20.8167,71.0333,Hotel Harbhole
66,Santo Antonio Do Ica,BR,75.22,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
67,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
77,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Cabo San Lucas,MX,82.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Sao Filipe,CV,75.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
83,Bethel,US,71.69,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
84,Buala,SB,83.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
85,Ratnagiri,IN,82.85,broken clouds,16.9833,73.3,Hotel Landmark
87,Vilhena,BR,73.8,overcast clouds,-12.7406,-60.1458,Hotel Mirage
90,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
91,Maningrida,AU,85.01,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
92,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
99,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
102,Muskegon,US,82.74,broken clouds,43.3,-86.1334,Timberline Estates
106,Mitsamiouli,KM,78.64,clear sky,-11.3847,43.2844,Foyer ADM
107,Laurel,US,70.2,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
108,Jamestown,US,74.84,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
109,Bengkulu,ID,80.89,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
110,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
115,Ajra,IN,72.72,overcast clouds,16.1167,74.2,Hotel Minerva Paradise
116,Pangkalanbuun,ID,83.44,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
122,Qui Nhon,VN,84.97,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
123,Bagli,IN,83.34,clear sky,22.65,76.35,Yash carpenter
131,Garissa,KE,75.7,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
133,Acarau,BR,78.22,overcast clouds,-2.8856,-40.12,castelo pizzaria
134,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
136,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Yulara,AU,75.45,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
150,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
152,Broome,US,73.78,few clouds,42.2506,-75.833,Chenango Valley State Park
154,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
157,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
159,Pallipattu,IN,81.75,broken clouds,13.3386,79.4449,Annur Holiday Resorts
165,Kuah,MY,80.58,scattered clouds,6.3265,99.8432,Azio Hotel
167,Mudhol,IN,76.53,overcast clouds,16.35,75.2833,Hotel Surabhi
173,Kavieng,PG,85.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
174,Xam Nua,LA,74.93,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
180,Colares,PT,75.33,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
181,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
187,Kirakira,SB,85.64,few clouds,-10.4544,161.9205,SanBiz Lodge
194,Itarema,BR,78.51,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
195,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
199,Tahta,EG,89.47,clear sky,26.7693,31.5021,فندق الزيات
200,Maniwaki,CA,80.98,clear sky,46.3834,-75.966,Centre Chateau Logue
203,Meulaboh,ID,80.11,overcast clouds,4.1363,96.1285,Kost Pria
204,Tezu,IN,71.62,overcast clouds,27.9167,96.1667,Circuit House
207,Shimoda,JP,70.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
208,Kapit,MY,76.1,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
209,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,hotel la terminal
210,San Policarpo,PH,83.43,overcast clouds,12.1791,125.5072,Agapita M. Nicart
212,Carutapera,BR,77.72,clear sky,-1.195,-46.02,Lidera
214,Kota Bahru,MY,76.98,few clouds,6.1333,102.2386,Grand Riverview Hotel
219,Cayenne,GF,78.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
223,Berbera,SO,86.32,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
226,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
228,Biltine,TD,85.33,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
