City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,42.46,93,75,8.05,broken clouds
1,Albany,US,42.6001,-73.9662,79.45,73,0,5.01,clear sky
2,Moses Lake,US,47.1301,-119.2781,61.48,18,0,9.22,clear sky
3,Pinhao,BR,-25.6956,-51.6597,51.91,96,7,3.18,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,100,5.75,overcast clouds
5,Pichayevo,RU,53.2363,42.2032,43.61,93,11,7.58,few clouds
6,Altay,CN,47.8667,88.1167,61.79,29,7,5.28,clear sky
7,Butaritari,KI,3.0707,172.7902,80.85,73,47,8.03,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,77.61,72,5,18.28,clear sky
9,Samarai,PG,-10.6167,150.6667,84.11,73,17,5.19,few clouds
10,Punta Arenas,CL,-53.15,-70.9167,41.11,81,40,9.22,scattered clouds
11,Camacha,PT,33.0833,-16.3333,63.82,77,40,3.44,scattered clouds
12,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,6.91,clear sky
13,Fairbanks,US,64.8378,-147.7164,48.09,58,75,5.75,broken clouds
14,Yellowknife,CA,62.456,-114.3525,63.12,34,40,6.91,scattered clouds
15,Hasaki,JP,35.7333,140.8333,70.29,95,100,26.98,heavy intensity rain
16,Vaini,TO,-21.2,-175.2,78.96,65,20,13.8,few clouds
17,Lebu,CL,-37.6167,-73.65,50.31,77,100,16.71,overcast clouds
18,Guymon,US,36.6828,-101.4816,84.2,13,0,3.44,clear sky
19,Klaksvik,FO,62.2266,-6.589,40.12,76,77,6.33,broken clouds
20,Xining,CN,36.6167,101.7667,38.88,76,99,4.36,overcast clouds
21,Baglung,NP,28.2719,83.5898,71.74,74,39,1.9,scattered clouds
22,Mataura,NZ,-46.1927,168.8643,55.47,83,28,3.29,scattered clouds
23,Zaysan,KZ,47.4667,84.8667,67.26,27,12,2.77,few clouds
24,Nadym,RU,65.5333,72.5167,47.16,82,21,8.79,few clouds
25,Diamantino,BR,-14.4086,-56.4461,74.71,56,8,4.05,clear sky
26,Kapaa,US,22.0752,-159.319,84.18,75,40,12.66,scattered clouds
27,Barrow,US,71.2906,-156.7887,21.22,79,100,5.75,overcast clouds
28,Ilulissat,GL,69.2167,-51.1,23.02,74,75,3.44,broken clouds
29,Tasiilaq,GL,65.6145,-37.6368,24.96,72,14,3.58,few clouds
30,Severo-Kurilsk,RU,50.6789,156.125,39.78,94,100,18.86,overcast clouds
31,Flinders,AU,-34.5833,150.8552,75.38,79,62,7.0,broken clouds
32,Moose Factory,CA,51.2585,-80.6094,53.6,54,100,6.91,overcast clouds
33,Lompoc,US,34.6391,-120.4579,83.57,66,0,27.0,clear sky
34,Westport,US,41.1415,-73.3579,68.29,94,100,10.36,fog
35,Hilo,US,19.7297,-155.09,82.27,74,75,5.99,light rain
36,Mayo,US,38.8876,-76.5119,70.68,94,100,5.75,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,57.92,88,100,2.1,light rain
38,Hermanus,ZA,-34.4187,19.2345,55.8,77,77,7.29,broken clouds
39,Labuhan,ID,-6.8844,112.2051,82.36,81,100,6.64,overcast clouds
