City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kysyl-Syr,RU,2022-05-13 17:23:56,63.8986,122.7617,28.08,86,95,11.95
1,Dikson,RU,2022-05-13 17:23:56,73.5069,80.5464,32.88,98,100,10.56
2,Yellowknife,CA,2022-05-13 17:23:57,62.456,-114.3525,54.12,43,75,9.22
3,Port Alfred,ZA,2022-05-13 17:23:58,-33.5906,26.891,60.19,87,13,1.99
4,Hilo,US,2022-05-13 17:23:58,19.7297,-155.09,77.29,83,0,6.91
5,Bundaberg,AU,2022-05-13 17:23:59,-24.85,152.35,69.22,99,100,8.05
6,Vaini,TO,2022-05-13 17:23:59,-21.2,-175.2,71.76,73,20,13.8
7,Salas,ES,2022-05-13 17:24:00,43.4118,-6.2602,62.96,80,79,5.91
8,Cape Town,ZA,2022-05-13 17:24:00,-33.9258,18.4232,59.88,83,20,9.22
9,Progreso,MX,2022-05-13 17:24:01,21.2833,-89.6667,87.91,51,0,11.27
10,Atuona,PF,2022-05-13 17:24:01,-9.8,-139.0333,78.3,66,60,21.3
11,Albany,US,2022-05-13 17:24:02,42.6001,-73.9662,82.44,56,41,4.0
12,Tiksi,RU,2022-05-13 17:24:02,71.6872,128.8694,13.89,90,80,15.26
13,Port Elizabeth,ZA,2022-05-13 17:24:03,-33.918,25.5701,64.09,74,0,17.27
14,Vestmannaeyjar,IS,2022-05-13 17:24:04,63.4427,-20.2734,47.39,42,20,12.66
15,Arcata,US,2022-05-13 17:24:04,40.8665,-124.0828,57.92,72,100,9.22
16,Kruisfontein,ZA,2022-05-13 17:24:05,-34.0033,24.7314,61.88,77,14,14.23
17,Jamestown,US,2022-05-13 17:21:51,42.097,-79.2353,78.94,56,0,13.8
18,Mogwase,ZA,2022-05-13 17:24:05,-25.185,27.2665,67.82,36,9,6.38
19,Boyolangu,ID,2022-05-13 17:24:06,-8.1181,111.8935,77.2,90,50,0.54
